turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,2,2,True,topic_2,False,---
3,2,2,False,---,False,---
4,2,2,False,---,False,---
5,2,2,False,---,False,---
6,2,2,False,---,False,---
7,2,2,False,---,False,---
8,2,2,False,---,False,---
9,2,2,False,---,False,---
10,1,1,False,---,False,---
11,1,1,False,---,False,---
12,1,1,False,---,False,---
13,1,1,False,---,False,---
14,1,1,False,---,False,---
15,1,1,False,---,False,---
16,1,1,False,---,False,---
17,1,1,False,---,False,---
18,1,1,False,---,False,---
19,1,1,False,---,False,---
20,1,1,False,---,False,---
21,1,1,False,---,False,---
22,1,1,False,---,False,---
23,1,1,False,---,False,---
24,1,1,False,---,False,---
25,1,1,False,---,False,---
26,1,1,False,---,False,---
27,1,1,False,---,False,---
28,1,1,False,---,False,---
29,1,1,False,---,False,---
30,1,1,False,---,False,---
31,1,1,False,---,False,---
32,1,1,False,---,False,---
33,1,1,False,---,False,---
34,1,1,False,---,False,---
35,1,1,False,---,False,---
36,1,1,False,---,False,---
37,1,1,False,---,False,---
38,1,1,False,---,False,---
39,1,1,False,---,False,---
40,1,1,False,---,False,---
41,1,1,False,---,False,---
42,1,1,False,---,False,---
43,1,1,False,---,False,---
44,1,1,False,---,False,---
45,1,1,False,---,False,---
46,1,1,False,---,False,---
47,1,1,False,---,False,---
48,1,1,False,---,False,---
49,1,1,False,---,False,---
50,1,1,False,---,False,---
51,1,1,False,---,False,---
52,1,1,False,---,False,---
53,1,1,False,---,False,---
54,1,1,False,---,False,---
55,1,1,False,---,False,---
56,1,1,False,---,False,---
57,1,1,False,---,False,---
58,1,1,False,---,False,---
59,1,1,False,---,False,---
60,1,1,False,---,False,---
61,1,1,False,---,False,---
62,1,1,False,---,False,---
63,1,1,False,---,False,---
64,1,1,False,---,False,---
65,1,1,False,---,False,---
66,1,1,False,---,False,---
67,1,1,False,---,False,---
68,1,1,False,---,False,---
69,1,1,False,---,False,---
70,1,1,False,---,False,---
71,1,1,False,---,False,---
72,1,1,False,---,False,---
73,1,1,False,---,False,---
74,1,1,False,---,False,---
75,1,1,False,---,False,---
76,1,1,False,---,False,---
77,1,1,False,---,False,---
78,1,1,False,---,False,---
79,1,1,False,---,False,---
80,1,1,False,---,False,---
81,1,1,False,---,False,---
82,1,1,False,---,False,---
83,2,2,True,topic_3,False,---
